taxi_id,start_time,start_location,end_time
2294,2008/2/2 13:39,"['116.4469', '39.95178']",508
2306,2008/2/2 13:36,"['116.46636', '39.97688']",600
2376,2008/2/2 13:36,"['116.3503', '39.9085']",302
2414,2008/2/2 13:41,"['116.30318', '39.95175']",302
2486,2008/2/2 13:31,"['116.38123', '39.98445']",213
2530,2008/2/2 13:33,"['116.41774', '39.90278']",899
2673,2008/2/2 14:03,"['116.42944', '39.90739']",302
2838,2008/2/2 13:41,"['116.44198', '39.95737']",302
2889,2008/2/2 13:34,"['116.30076', '39.98506']",302
2899,2008/2/2 14:14,"['116.56661', '40.07228']",302
2909,2008/2/2 13:45,"['116.33489', '39.92686']",241
2918,2008/2/2 13:33,"['116.43645', '39.89954']",575
2986,2008/2/2 13:32,"['116.47804', '39.99034']",301
2997,2008/2/2 13:36,"['116.44972', '39.95718']",600
3023,2008/2/2 13:34,"['116.35535', '39.9452']",302
3066,2008/2/2 13:37,"['116.31886', '39.89605']",600
3068,2008/2/2 13:35,"['116.35876', '39.88712']",600
3072,2008/2/2 13:39,"['116.40689', '39.96072']",599
3089,2008/2/2 13:33,"['116.4447', '39.93257']",603
3096,2008/2/2 13:43,"['116.564', '40.0719']",413
3100,2008/2/2 13:34,"['116.37435', '39.76598']",302
3120,2008/2/2 14:56,"['116.31878', '39.7298']",539
3133,2008/2/2 13:39,"['116.29868', '39.92248']",574
3143,2008/2/2 13:35,"['116.33597', '39.80534']",302
3151,2008/2/2 13:41,"['116.43728', '39.96336']",227
3210,2008/2/2 13:35,"['116.44066', '39.94377']",301
3445,2008/2/2 13:38,"['116.36676', '39.8764']",600
3501,2008/2/3 8:42,"['116.42132', '39.90455']",905
3525,2008/2/2 13:38,"['116.3418', '39.87158']",600
3540,2008/2/2 13:32,"['116.38039', '39.8975']",362
3557,2008/2/2 20:05,"['116.16817', '39.94461']",202
3688,2008/2/2 15:29,"['116.56611', '40.07087']",521
3745,2008/2/2 13:36,"['116.45886', '39.94254']",302
3778,2008/2/2 13:53,"['116.30915', '39.94672']",540
3779,2008/2/2 13:49,"['116.34278', '39.86519']",301
3808,2008/2/2 13:36,"['116.5798', '40.04731']",600
3835,2008/2/2 13:37,"['116.56632', '40.07165']",301
4007,2008/2/2 13:35,"['116.40937', '39.9678']",403
4020,2008/2/2 13:45,"['116.4649', '39.92934']",589
4035,2008/2/2 13:34,"['116.41562', '39.88273']",601
4049,2008/2/2 13:36,"['116.33353', '39.7247']",600
4091,2008/2/2 13:33,"['116.34903', '39.94026']",302
4109,2008/2/2 13:39,"['116.4229', '39.98745']",906
4113,2008/2/2 13:36,"['116.30404', '39.89591']",301
4143,2008/2/2 13:41,"['117.21429', '40.14622']",291
4218,2008/2/2 13:32,"['116.4246', '39.90852']",223
4259,2008/2/2 13:39,"['116.41287', '39.8998']",604
4319,2008/2/2 13:35,"['116.4501', '39.88102']",302
4326,2008/2/2 20:37,"['116.4441', '39.92346']",342
4465,2008/2/2 13:34,"['116.40604', '39.89215']",302
4510,2008/2/2 13:45,"['116.43974', '39.90701']",761
4600,2008/2/2 13:46,"['116.34713', '39.88686']",600
4614,2008/2/2 13:34,"['116.47738', '39.87795']",314
4644,2008/2/2 13:33,"['116.46185', '39.95504']",530
4652,2008/2/2 13:39,"['116.34756', '39.95812']",938
4790,2008/2/2 13:35,"['116.32787', '39.92166']",600
4791,2008/2/2 13:34,"['116.35152', '39.98028']",302
4908,2008/2/2 13:34,"['116.30526', '39.87646']",448
4958,2008/2/2 13:36,"['116.48402', '39.90692']",604
4969,2008/2/2 13:33,"['116.44122', '39.83028']",252
4984,2008/2/2 13:35,"['116.40115', '39.96737']",346
5000,2008/2/2 13:40,"['116.44501', '39.82481']",300
5079,2008/2/2 13:34,"['116.47715', '39.98275']",301
5115,2008/2/2 13:39,"['116.51687', '40.02379']",600
5122,2008/2/2 13:43,"['116.42208', '39.84301']",302
5126,2008/2/2 13:43,"['116.48941', '39.97016']",329
5195,2008/2/2 13:37,"['116.56421', '40.0719']",600
5257,2008/2/2 13:39,"['116.1805', '39.91919']",604
5279,2008/2/2 13:44,"['116.47132', '39.8695']",603
5311,2008/2/2 14:23,"['116.47945', '39.89939']",346
5477,2008/2/2 13:37,"['116.40712', '39.85608']",600
5504,2008/2/2 13:40,"['116.47276', '39.98592']",301
5506,2008/2/3 2:33,"['116.49722', '39.96732']",292
5510,2008/2/2 13:34,"['116.30443', '39.97602']",242
5534,2008/2/2 13:38,"['116.33825', '39.91311']",301
5545,2008/2/2 13:34,"['116.40312', '39.96738']",301
5586,2008/2/2 13:35,"['116.37431', '39.97803']",368
5602,2008/2/2 13:35,"['116.43764', '39.90744']",506
5627,2008/2/2 13:40,"['116.39806', '39.856']",251
5630,2008/2/2 13:39,"['116.46655', '39.98294']",309
5643,2008/2/2 13:39,"['116.37155', '39.82988']",603
5646,2008/2/2 13:37,"['116.32117', '39.98192']",604
5831,2008/2/2 13:55,"['116.48089', '40.00534']",609
5880,2008/2/2 13:40,"['116.30697', '39.89537']",522
5908,2008/2/2 13:36,"['116.26773', '39.90758']",603
5951,2008/2/2 13:35,"['116.40981', '39.89972']",301
5973,2008/2/2 13:36,"['116.37797', '39.89896']",604
5995,2008/2/2 13:42,"['116.42298', '39.96835']",595
6014,2008/2/2 13:40,"['116.30419', '39.93492']",301
6121,2008/2/2 15:56,"['116.30413', '39.91104']",600
6131,2008/2/2 13:41,"['116.35067', '39.91473']",603
6146,2008/2/2 13:36,"['116.58722', '40.07719']",624
6147,2008/2/2 13:35,"['116.28982', '39.9581']",302
6383,2008/2/2 13:39,"['116.32117', '39.97509']",604
6428,2008/2/2 13:35,"['116.4907', '40.0035']",302
6470,2008/2/2 21:19,"['116.36268', '39.87698']",604
6507,2008/2/2 13:40,"['116.40319', '39.9065']",582
6511,2008/2/2 13:40,"['116.4298', '39.92185']",300
6529,2008/2/2 14:04,"['116.28896', '39.90166']",902
6670,2008/2/2 13:35,"['116.47758', '39.96058']",302
6682,2008/2/2 13:33,"['116.40975', '39.9609']",302
6688,2008/2/2 13:39,"['116.46833', '39.83928']",600
6748,2008/2/2 13:38,"['116.50186', '39.99685']",600
6751,2008/2/2 13:38,"['116.35313', '39.91345']",432
6761,2008/2/2 13:35,"['116.4344', '39.92621']",607
6790,2008/2/2 13:34,"['116.30122', '40.99213']",501
6808,2008/2/2 13:49,"['116.30081', '39.96865']",302
6819,2008/2/2 14:05,"['116.3162', '39.96403']",890
6976,2008/2/2 14:20,"['116.36798', '39.97625']",784
7039,2008/2/2 13:36,"['116.33466', '39.89591']",458
7087,2008/2/2 13:34,"['116.48368', '39.91621']",302
7101,2008/2/2 13:37,"['116.40808', '39.8554']",600
7129,2008/2/2 13:35,"['116.44216', '39.97179']",803
7187,2008/2/2 13:36,"['116.30492', '39.88135']",600
7190,2008/2/2 13:55,"['116.43971', '39.9507']",292
7221,2008/2/2 13:42,"['116.42109', '39.90565']",301
7433,2008/2/2 15:08,"['116.44947', '39.95525']",472
7451,2008/2/2 13:39,"['116.4492', '39.94242']",600
7463,2008/2/2 13:38,"['116.36819', '39.88215']",603
7508,2008/2/2 13:43,"['116.21631', '39.76162']",905
7563,2008/2/2 13:37,"['116.4049', '39.89947']",604
7573,2008/2/2 13:32,"['116.32125', '39.89196']",222
7623,2008/2/2 13:35,"['116.41412', '39.90018']",231
7673,2008/2/2 13:40,"['116.45719', '39.90335']",300
7678,2008/2/2 13:34,"['116.434', '39.94942']",606
7685,2008/2/2 16:10,"['116.47191', '39.90715']",360
7828,2008/2/2 13:41,"['116.50073', '39.96397']",600
7850,2008/2/2 13:38,"['116.33407', '39.99352']",600
7961,2008/2/2 13:37,"['116.42059', '39.89216']",604
8065,2008/2/2 13:31,"['116.42063', '39.9046']",217
8080,2008/2/2 13:35,"['116.35764', '39.88097']",600
8096,2008/2/2 13:47,"['116.44913', '39.92629']",811
8132,2008/2/2 13:49,"['116.34277', '39.93803']",739
8163,2008/2/2 13:39,"['116.4329', '39.94585']",600
8215,2008/2/2 13:37,"['116.41205', '39.90357']",600
8232,2008/2/2 13:40,"['116.56438', '40.07056']",302
8308,2008/2/2 17:32,"['116.4621', '39.97203']",301
8363,2008/2/2 13:33,"['116.4561', '39.90718']",302
8369,2008/2/2 13:33,"['116.36799', '39.90445']",302
8405,2008/2/2 13:39,"['116.56588', '40.07169']",600
8408,2008/2/2 13:40,"['116.46003', '39.95875']",302
8409,2008/2/2 13:33,"['116.47213', '39.97903']",315
8460,2008/2/2 13:39,"['116.49147', '39.97045']",600
8488,2008/2/2 13:37,"['116.51743', '39.96958']",604
8575,2008/2/2 13:37,"['116.35075', '39.88831']",600
8586,2008/2/2 13:45,"['116.46357', '39.9621']",593
8616,2008/2/2 13:32,"['116.35532', '39.95312']",548
8650,2008/2/2 13:35,"['116.40196', '39.94662']",302
8661,2008/2/2 13:37,"['116.47382', '39.90665']",313
8662,2008/2/2 13:30,"['116.31995', '39.89004']",200
8817,2008/2/2 14:07,"['116.31952', '39.70065']",418
8832,2008/2/2 13:37,"['116.36278', '39.89373']",600
8844,2008/2/2 13:36,"['116.44245', '39.96341']",301
8867,2008/2/2 13:36,"['116.32793', '39.79461']",562
8950,2008/2/2 13:40,"['117.04446', '40.20124']",301
9009,2008/2/2 13:33,"['116.35698', '39.90867']",302
9023,2008/2/2 13:38,"['116.35739', '39.96636']",576
9082,2008/2/2 13:32,"['116.31341', '39.93788']",600
9093,2008/2/2 13:38,"['116.4026', '39.81403']",600
9103,2008/2/2 13:33,"['116.48407', '39.91819']",302
9120,2008/2/2 13:38,"['116.50452', '39.86777']",600
9130,2008/2/2 13:36,"['116.3501', '39.91738']",302
9198,2008/2/2 13:38,"['116.47693', '39.97443']",600
9222,2008/2/2 15:07,"['116.38239', '39.89861']",604
9232,2008/2/2 13:32,"['116.38191', '39.94279']",240
9384,2008/2/2 13:37,"['116.40344', '39.89936']",604
9399,2008/2/2 13:35,"['116.30774', '40.02185']",429
9415,2008/2/2 13:32,"['116.3109', '39.97469']",302
9552,2008/2/2 13:36,"['116.32872', '39.88867']",604
9578,2008/2/2 13:31,"['116.47164', '39.89776']",240
9622,2008/2/2 13:36,"['116.45376', '39.91325']",600
9623,2008/2/4 5:50,"['116.63448', '39.88607']",900
9696,2008/2/2 13:36,"['116.37729', '39.96663']",576
9865,2008/2/2 13:37,"['116.26899', '39.86883']",604
9904,2008/2/2 13:37,"['116.35059', '39.9115']",600
9944,2008/2/2 13:31,"['116.36494', '39.94722']",239
9945,2008/2/2 14:30,"['116.42809', '39.92755']",210
9948,2008/2/2 13:31,"['116.42811', '39.90355']",240
9950,2008/2/2 13:31,"['116.4116', '39.91746']",240
10187,2008/2/2 13:37,"['116.33662', '39.90223']",600
10217,2008/2/2 13:38,"['116.44441', '40.02073']",599
10222,2008/2/2 13:35,"['116.53646', '39.75464']",599
